"name","organization","city","source_url","contact_channel","contact_value","has_tasting","accepts_groups","scale","priority","notes"
"Усадьба Перовских","Усадьба Перовских","Севастополь","https://perovskywinery.ru/ru/tours/","phone","+7 (978) 569-90-24","yes","yes","medium","high","Севастополь; экскурсии и дегустации по предварительной записи; сильный кандидат на заявки без предоплаты"
"Alma Valley","Alma Valley","Крым, Бахчисарайский район","https://www.alma-valley.ru/wine-tourism.html","phone_or_email","+7 (978) 968-44-22; office@alma-valley.ru","yes","yes","large","medium","Гравитационная винодельня; есть винный туризм; возможен длиннее цикл согласования"
"Золотая Балка","Золотая Балка","Севастополь, Балаклава","https://zbtour.ru/catalog/ekskursii/","phone_or_email","+7 978 784-14-40; winetour@zbkrim.ru","yes","yes","large","medium","Севастополь; экскурсии, дегустации, мастер-классы; можно обсуждать отдельные заявки/маршруты"
"Ароматное","Ароматное. Органические виноградники","Крым, Бахчисарай","https://aromatnoe.com/","phone_or_email","+7 (985) 922-99-34; info@kupislova.ru","yes","unknown","small","high","Малое органическое хозяйство; авторский туризм; хороший fit для кризисного пилота"
"Le K2 Winery","Le K2 Winery","Севастополь","https://t.me/lek2winery","phone_or_email","+7 (978) 533-23-23; lek2winery@gmail.com","yes","unknown","small","high","Севастополь, с. Родное; есть точный адрес и отдел продаж; проверить формат приема гостей"
"Дневник винодельни BOGOVICH","BOGOVICH","Севастополь","https://t.me/irinabogovich","telegram_or_email","bogovich.wine@yandex.ru; https://t.me/bogovichwine","unknown","unknown","small","medium","Севастополь; авторский канал; нужно уточнить готовность к дегустациям/группам"
"AYA","AYA Organic Wine & Vineyards","Севастополь, с. Родное","https://t.me/aya_wine","phone","+7 988 240-31-20; +7 861 240-31-20","yes","yes","medium","high","Вилла, ресторан, винодельня, экскурсии и дегустации; сильный tourism-ready кандидат"
"Domaine Lipko","Domaine Lipko","Севастополь","https://t.me/domainelipko","phone_or_site","+7 (978) 532-91-89; https://domainelipko.com/","unknown","unknown","small","medium","Севастополь; авторская винодельня; уточнить формат визитов"
"Loco Cimbali Winery","Loco Cimbali Winery","Севастополь, Балаклава","https://t.me/lococimbaliwinery","partner_tour_phone","экскурсии через zbtour.ru/loco; +7 978 784-14-40","yes","yes","small","high","Балаклава; экскурсии через Золотую Балку; можно предложить отдельные заявки на посещение"
"Усадьба Родное гнездо","Усадьба Родное гнездо","Севастополь, с. Родное","https://rodnoegnezdo.ru/","phone_or_email","+7 (978) 534-98-90; +7 (916) 911-51-55; booking@rodnoegnezdo.ru","yes","yes","small","high","Винодельня/усадьба с размещением; сильный кандидат на маршруты и группы"
"Domaine de la Vivandière","Domaine de la Vivandière","Крым, Бахчисарай","https://t.me/domainedelavivandiere","telegram","https://t.me/domainedelavivandiere","unknown","unknown","small","medium","Крымское фермерское хозяйство; активный канал; нужен быстрый вопрос по визитам и группам"
"Солнечная Долина","Винодельня Солнечная Долина","Крым, Судак","https://sunvalley1888.ru/contacts","phone_or_email","+7 (978) 956-33-22; +7 (978) 856-42-42; office@sunvalley1888.ru","yes","yes","large","medium","Крым, Судак; есть экскурсии и дегустации; крупнее, но готовый туристический продукт"
"Коммуналка Wine","Коммуналка Wine","Крым, Бахчисарайский район","https://t.me/comm_wine","telegram","https://t.me/comm_wine","unknown","unknown","small","medium","Крымский малый проект; активный канал; нужно уточнить прием гостей и формат дегустации"
"BaklaVines","BaklaVines","Крым, Бахчисарайский район","https://t.me/BaklaVines","phone_or_telegram","+7 (906) 033-69-71; https://t.me/BaklaVines","yes","unknown","small","high","Малый крымский проект; дегустации/джип-туры; хороший fit для WinePool Tourism"
"Два Петра","Два Петра","Крым, Феодосия","https://two-peters.ru/","phone_or_email","+7 978 866-00-95; +7 978 896-61-88; spdolinavin@mail.ru","yes","yes","small","high","Феодосия; экскурсии, дегустации, виноградники и туристические сеты"
