"priority","segment","name","public_source","contact_hint","link_to_send","message_template","next_status_if_replied","next_question","notes"
"high","local_partner","Еду в Ялту","теплый действующий партнер","warm_intro","https://winepool.ru/partners-crimea","operator_warm_base","call_planned","Какие 2-3 винных маршрута реально закрываем сейчас и кто отвечает за подтверждение заявки/машину/гида?","Базовый оператор первой волны; есть теплые связи с руководителями, логистикой, машинами и гидами"
"high","tourist_demand","Личные контакты в Крыму","","telegram_or_whatsapp","https://winepool.ru/routes-crimea","tourist_short","money_signal","Есть ли кому сейчас нужен актуальный винный маршрут/дегустация?","Отправить лично 5 людям без публичного поста"
"high","tourist_demand","КРЫМ ГЛАЗАМИ МЕСТНЫХ","https://t.me/s/yaltafamily","telegram_channel","https://winepool.ru/routes-crimea","community_soft","community_candidate","Можно ли аккуратно спросить аудиторию про запросы на актуальные винные маршруты?","Не спамить; сначала личное сообщение админу/контакту"
"medium","tourist_demand","Локальные чаты Ялты","","telegram","https://winepool.ru/routes-crimea","tourist_short","money_signal","Нужны ли маршруты с ручным уточнением по датам/транспорту?","Писать только там, где допустимы рекомендации/запросы"
"medium","tourist_demand","Винные знакомые/сомелье","","telegram","https://winepool.ru/routes-crimea","tourist_short","money_signal","Можете ли дать интро туристу/гиду/каналу?","Цель не продажа, а первые 1-3 запроса"
"high","paid_work","Flutter/Dart contacts","","telegram","https://winepool.ru/mvp-help","paid_work_short","paid_work_lead","Есть ли короткая задача на 1-5 дней?","Цель 1 задача 10000 руб или 2 по 5000"
"high","paid_work","Supabase/Postgres contacts","","telegram","https://winepool.ru/mvp-help","paid_work_short","paid_work_lead","Нужна ли помощь с Supabase/RLS/админкой/формами?","Отправить в личку знакомым, не массовым спамом"
"high","paid_work","Предприниматели с MVP","","telegram_or_email","https://winepool.ru/mvp-help","paid_work_short","paid_work_lead","Что нужно быстро довести до заявок/первого клиента?","Описывать WinePool как живой пример"
"medium","support","Личные поддерживающие контакты","","telegram","https://winepool.ru/support-winepool","support_soft","support_signal","Можете поддержать сервер или дать интро?","Писать только тем, кому можно честно сказать про ситуацию"
"medium","support","Винное сообщество","","telegram","https://winepool.ru/support-winepool","support_soft","support_signal","Кому близка идея сохранить локальные винные маршруты?","Публичный пост лучше после первых личных касаний"
