"priority","segment","name","organization","city","source_url","contact_channel","contact_value","status","offer","next_action","money_signal","notes"
"high","guide_or_operator","Еду в Ялту","Еду в Ялту","Ялта / Крым","","warm_intro","теплый контакт через действующего партнера; рабочий канал уточнить","new","base_operator_success_fee_pilot","align_routes_logistics_terms","warm_partner","Базовый оператор первой волны: есть доверие, руководители, связи на логистику, машины и гидов; сначала строим пилот через них, остальных операторов подключаем позже"
"high","guide_or_operator","","","","","telegram","","new","guide_route_success_fee","find_contact","none","Быстрый исполнитель маршрута; искать частных гидов/экскурсии Ялта"
"high","guide_or_operator","","","","","phone","","new","guide_route_success_fee","find_contact","none","Проверить готовность принять заявку и назвать цену"
"high","small_tasting_point","","","","","telegram","","new","pilot_no_prepayment","find_contact","none","Дегустационный зал/винный бар/магазин с дегустацией"
"high","hotel_or_guesthouse","","","","","email","","new","hotel_qr_guest_route","find_contact","none","Источник гостей; цель - QR/интро/поток"
"high","hotel_or_guesthouse","","","","","phone","","new","hotel_qr_guest_route","find_contact","none","Спросить, есть ли гости с запросом на винные маршруты"
"low","winery_or_destination","Массандра","Массандра","Ялта","https://massandra.ru/tours/","phone","+7 (978) 936-75-04","later","big_winery_no_prepayment","strategic_review_after_pilot","long_cycle","Сильный бренд; уже есть логика маршрута Массандра; крупная компания; не первая волна, вернуться после быстрых пилотов с малыми/средними"
"low","winery_or_destination","Winepark","Winepark / Mriya","Ялта","https://winepark.ru/contacts/","email_or_phone","info@winepark.com / 8 800 500 23 57","later","big_winery_no_prepayment","strategic_review_after_pilot","long_cycle","Премиальный wine destination; может быть долгий цикл; крупная компания; не первая волна, вернуться после быстрых пилотов с малыми/средними"
"medium","winery_or_destination","Alma Valley","Alma Valley","Крым","https://alma-valley.ru/","","","new","big_winery_no_prepayment","verify_contact","none","Сильный бренд; проверять актуальный туризм"
"high","winery_or_destination","Lucky Winery","Lucky Winery","Бахчисарай","https://luckywinery.ru/","phone_email","+7 978 060-19-22; winerylucky@gmail.com","new","winery_tasting_success_fee","send_partner_message","none","Малая винодельня; дегустация 3000 руб/чел; бранч/ужин/отель; хороший кандидат на группы"
"high","winery_or_destination","Ароматное","Ароматное","Бахчисарай","https://aromatnoe.com/","telegram_phone","+7 (985) 922-99-34; info@kupislova.ru","new","winery_tasting_success_fee","send_partner_message","none","Дегустации на винограднике; цена 4000 руб/чел; писать про группы и предварительную запись"
"high","winery_or_destination","Uppa Winery","Uppa Winery","Севастополь","https://uppawinery.ru/","phone","+7 8692 22-31-00","new","winery_tasting_success_fee","send_partner_message","none","Экскурсии по расписанию около 2 часов с дегустацией; премиальный формат"
"high","winery_or_destination","Mangup Estate","Mangup Estate","Севастополь","https://mangup.estate/","site_form_or_phone","+7 (917) 519-28-11","new","winery_tasting_success_fee","send_partner_message","none","Семейная винодельня и пространство отдыха; туризм/события; проверять быстрый контакт"
"high","winery_or_destination","Усадьба Перовских","Усадьба Перовских","Севастополь","https://perovskywinery.ru/ru/tours/","phone","+7 (978) 569-90-24","new","winery_tasting_success_fee","send_partner_message","none","Винный туризм с формой записи; экскурсии и дегустации; хороший объект для связки с оператором"
"high","winery_or_destination","Бельбек","Винодельня Бельбек","Севастополь","https://belbekwine.com/","phone_email","+7 (978) 094-69-78 Наталья; b4547@yandex.ru","new","winery_tasting_success_fee","send_partner_message","none","Авторская винодельня; экскурсии круглогодично по предварительной записи; группы/индивидуально"
"medium","winery_or_destination","ESSE Wine Tour","ESSE / Сатера","Севастополь","https://essewinetour.ru/","phone","+7 978 788 75 30","new","winery_tasting_success_fee","send_partner_message","none","Sunset Wine Tour; предварительная запись; есть организатор тура"
"medium","winery_or_destination","Alma Valley wine tourism","Alma Valley","Бахчисарайский район","https://www.alma-valley.ru/wine-tourism.html","phone","+7 (978) 968-44-22","new","winery_tasting_success_fee","send_partner_message","none","Есть расписание дегустаций и индивидуальные форматы; уже понятна экономика группы"
"medium","winery_or_destination","Золотая Балка","Золотая Балка","Севастополь","https://zolotaiabalka.ru/","","","new","big_winery_no_prepayment","verify_contact","none","Туристический потенциал; не Ялта, но сильный объект"
"low","winery_or_destination","Инкерман","Инкерман","Севастополь","https://inkerman.ru/","","","later","big_winery_no_prepayment","strategic_review_after_pilot","long_cycle","Крупный бренд; возможны согласования; крупная компания; не первая волна, вернуться после быстрых пилотов с малыми/средними"
"medium","winery_or_destination","Солнечная Долина","Солнечная Долина","Крым","https://sunvalley1888.ru/","","","new","big_winery_no_prepayment","verify_contact","none","Исторический бренд; второй этап"
"medium","winery_or_destination","Новый Свет","Новый Свет","Крым","https://nsvet-crimea.ru/","","","new","big_winery_no_prepayment","verify_contact","none","Сильный туристический объект; второй этап"
"high","external_paid_work","","","","","telegram","","new","flutter_supabase_short_task","send_paid_work_message","none","Параллельный денежный трек"
"high","external_paid_work","","","","","email","","new","flutter_supabase_short_task","send_paid_work_message","none","Нужны быстрые задачи 1-5 дней"
"medium","community_media","","","","","telegram","","new","support_project_or_route_requests","find_contact","none","Локальный/винный канал для поста и интро"
"medium","winery_or_destination","Alma Valley","Alma Valley","Крым, Бахчисарайский район","https://www.alma-valley.ru/wine-tourism.html","phone_or_email","+7 (978) 968-44-22; office@alma-valley.ru","new","winery_tasting_success_fee","send_partner_message","none","Гравитационная винодельня; есть винный туризм; возможен длиннее цикл согласования; has_tasting=yes; accepts_groups=yes; scale=large"
"medium","winery_or_destination","Золотая Балка","Золотая Балка","Севастополь, Балаклава","https://zbtour.ru/catalog/ekskursii/","phone_or_email","+7 978 784-14-40; winetour@zbkrim.ru","new","winery_tasting_success_fee","send_partner_message","none","Севастополь; экскурсии, дегустации, мастер-классы; можно обсуждать отдельные заявки/маршруты; has_tasting=yes; accepts_groups=yes; scale=large"
"high","winery_or_destination","Le K2 Winery","Le K2 Winery","Севастополь","https://t.me/lek2winery","phone_or_email","+7 (978) 533-23-23; lek2winery@gmail.com","new","winery_tasting_success_fee","send_partner_message","none","Севастополь, с. Родное; есть точный адрес и отдел продаж; проверить формат приема гостей; has_tasting=yes; accepts_groups=unknown; scale=small"
