id,priority,segment,name,contact_channel,contact_value,link_sent,message_template,status,last_touch,next_touch,next_status_if_replied,next_question,money_signal,notes
fw00,high,local_partner,Еду в Ялту,max,Ирочка +7 978 338 77 68 МАХ,https://winepool.ru/partners-crimea,operator_warm_base,replied,2026-07-05 12:58,2026-07-06,call_planned,Какие 2-3 винных маршрута реально закрываем сейчас и кто отвечает за подтверждение заявки/машину/гида?,none,"Основной оператор первой волны; есть теплые связи с руководителями, логистикой, машинами и гидами; через него строим первые действия в Ялте | 2026-07-07 00:52: https://eduvyaltu.ru/"
fw03,low,local_partner,Ялта-экскурсии,site_contacts_or_form,+7-978-981-78-13; WhatsApp/Viber/Telegram links on site; https://yalta-excursions.ru/,https://winepool.ru/partners-crimea,operator_short,no_now,2026-07-05 22:52,2026-07-19,pilot_candidate,Какие винные маршруты или экскурсии вы сейчас реально готовы закрывать и кому отправлять первый подходящий запрос?,reserve,source: https://yalta-excursions.ru/; резерв: сначала развиваем теплого базового партнера Еду в Ялту
fw04,low,local_partner,Ялтинское экскурсионное бюро,site_contacts_or_form,+7 (978) 721-36-60 / +7 (978) 815-20-93; yaltaex@gmail.com; https://yalta-ex.com/kontakty,https://winepool.ru/partners-crimea,operator_short,no_now,2026-07-05 22:52,2026-07-19,pilot_candidate,Какие винные маршруты или экскурсии вы сейчас реально готовы закрывать и кому отправлять первый подходящий запрос?,reserve,source: https://yalta-ex.com/kontakty; резерв: сначала развиваем теплого базового партнера Еду в Ялту
fw05,low,local_partner,Sputnik8 Yalta wine category,partner_or_guide_profiles,,https://winepool.ru/partners-crimea,operator_short,no_now,2026-07-05 22:52,2026-07-19,pilot_candidate,Какие винные маршруты или экскурсии вы сейчас реально готовы закрывать и кому отправлять первый подходящий запрос?,reserve,source: https://www.sputnik8.com/ru/yalta/category/vinodelnya; резерв: сначала развиваем теплого базового партнера Еду в Ялту
fw06,low,local_partner,ExtraGuide Yalta wine category,partner_or_guide_profiles,,https://winepool.ru/partners-crimea,operator_short,no_now,2026-07-07 00:51,2026-07-21,pilot_candidate,Какие винные маршруты или экскурсии вы сейчас реально готовы закрывать и кому отправлять первый подходящий запрос?,reserve,source: https://extraguide.ru/crimea/yalta/wine/; резерв: сначала развиваем теплого базового партнера Еду в Ялту
fw07,high,tourist_demand,Личные контакты в Крыму,telegram_or_whatsapp,,https://winepool.ru/routes-crimea,tourist_short,new,,,money_signal,Есть ли кому сейчас нужен актуальный винный маршрут/дегустация?,none,Отправить лично 5 людям без публичного поста
fw08,high,tourist_demand,КРЫМ ГЛАЗАМИ МЕСТНЫХ,telegram_channel,,https://winepool.ru/routes-crimea,community_soft,new,,,community_candidate,Можно ли аккуратно спросить аудиторию про запросы на актуальные винные маршруты?,none,source: https://t.me/s/yaltafamily
fw09,medium,tourist_demand,Локальные чаты Ялты,telegram,,https://winepool.ru/routes-crimea,tourist_short,new,,,money_signal,Нужны ли маршруты с ручным уточнением по датам/транспорту?,none,"Писать только там, где допустимы рекомендации/запросы"
fw10,medium,tourist_demand,Винные знакомые/сомелье,telegram,,https://winepool.ru/routes-crimea,tourist_short,new,,,money_signal,Можете ли дать интро туристу/гиду/каналу?,none,"Цель не продажа, а первые 1-3 запроса"
fw11,high,paid_work,Flutter/Dart contacts,telegram,,https://winepool.ru/mvp-help,paid_work_short,new,,,paid_work_lead,Есть ли короткая задача на 1-5 дней?,none,Цель 1 задача 10000 руб или 2 по 5000
fw12,high,paid_work,Supabase/Postgres contacts,telegram,,https://winepool.ru/mvp-help,paid_work_short,new,,,paid_work_lead,Нужна ли помощь с Supabase/RLS/админкой/формами?,none,"Отправить в личку знакомым, не массовым спамом"
fw13,high,paid_work,Предприниматели с MVP,telegram_or_email,,https://winepool.ru/mvp-help,paid_work_short,new,,,paid_work_lead,Что нужно быстро довести до заявок/первого клиента?,none,Описывать WinePool как живой пример
fw14,medium,support,Личные поддерживающие контакты,telegram,,https://winepool.ru/support-winepool,support_soft,new,,,support_signal,Можете поддержать сервер или дать интро?,none,"Писать только тем, кому можно честно сказать про ситуацию"
fw15,medium,support,Винное сообщество,telegram,,https://winepool.ru/support-winepool,support_soft,new,,,support_signal,Кому близка идея сохранить локальные винные маршруты?,none,Публичный пост лучше после первых личных касаний
fw16,high,local_partner,Lucky Winery,phone_email,+7 978 060-19-22; winerylucky@gmail.com,https://winepool.ru/partners-crimea,partner_short,new,,,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://luckywinery.ru/
fw17,high,local_partner,Ароматное,telegram_or_phone,+7 (985) 922-99-34; info@kupislova.ru,https://winepool.ru/partners-crimea,partner_short,sent,2026-07-06 23:33,2026-07-07,pilot_candidate,Кто отвечает за дегустации или прием гостей и можно ли написать вам при первом подходящем запросе?,none,source: https://aromatnoe.com/
